Name,Distance_Mpc,N_points,R_max_kpc,V_max_obs,M_baryon_est,Efficiency,Chi2_Newton,Chi2_DSO,Chi2dof_Newton,Chi2dof_DSO,Improvement,RMS_Newton,RMS_DSO,Within2sigma
UGC06446,12.0,17,10.22,84.9,3.71e+09,0.0151,1211.57,1202.52,75.72,75.16,1.01,37.6,37.4,0.059
UGC06614,88.7,13,64.59,205.0,1.83e+11,0.9739,209.37,160.16,17.45,13.35,1.31,51.0,35.6,0.462
UGC06628,15.1,7,7.69,42.3,5.67e+09,0.0344,6.67,8.10,1.11,1.35,0.82,8.1,8.9,1.000
UGC06667,18.0,9,7.85,85.7,2.14e+09,0.0051,1737.86,1732.66,217.23,216.58,1.00,45.3,45.2,0.000
UGC06786,29.3,45,34.05,229.0,8.33e+10,0.8852,27137.82,9211.82,616.77,209.36,2.95,52.0,30.8,0.578
UGC06787,21.3,71,37.19,276.0,1.13e+11,0.9336,40128.37,13349.99,573.26,190.71,3.01,65.0,48.0,0.155
UGC06818,18.0,8,6.98,74.4,2.67e+09,0.0079,106.96,105.78,15.28,15.11,1.01,20.2,20.1,0.375
UGC06917,18.0,11,10.47,111.0,1.21e+10,0.1404,596.96,472.39,59.70,47.24,1.26,30.6,27.0,0.091
UGC06923,18.0,6,5.16,81.1,4.37e+09,0.0208,58.35,54.46,11.67,10.89,1.07,15.1,14.6,0.333
UGC06930,18.0,10,16.61,109.0,1.65e+10,0.2321,260.05,191.49,28.89,21.28,1.36,31.5,26.5,0.100
UGC06973,18.0,9,7.85,180.0,5.84e+10,0.7910,3515.09,4339.67,439.39,542.46,0.81,88.4,99.2,0.000
UGC06983,18.0,17,15.68,113.0,1.17e+10,0.1318,1103.94,1018.96,69.00,63.68,1.08,42.5,40.2,0.059
UGC07089,18.0,12,9.16,79.1,5.89e+09,0.0371,76.08,68.42,6.92,6.22,1.11,14.9,14.1,0.417
UGC07125,19.8,13,18.68,65.6,8.13e+09,0.0683,475.02,425.50,39.58,35.46,1.12,14.7,13.8,0.154
UGC07151,6.87,11,5.50,76.2,3.95e+09,0.0170,394.98,380.25,39.50,38.02,1.04,15.6,15.2,0.182
UGC07261,13.1,7,6.67,76.1,3.29e+09,0.0119,108.30,106.35,18.05,17.72,1.02,22.3,22.1,0.000
UGC07323,8.0,10,5.82,85.6,6.13e+09,0.0401,71.46,57.46,7.94,6.38,1.24,10.3,9.3,0.500
UGC07399,8.43,10,6.13,106.0,2.30e+09,0.0059,2380.22,2374.43,264.47,263.83,1.00,51.0,50.9,0.000
UGC07524,4.74,31,10.69,83.8,6.62e+09,0.0464,1932.55,1810.77,64.42,60.36,1.07,26.8,25.9,0.065
UGC07559,4.97,7,2.53,32.1,3.00e+08,0.0001,30.90,30.90,5.15,5.15,1.00,6.8,6.8,0.571
UGC07577,2.59,9,1.69,17.8,8.80e+07,0.0000,2.79,2.79,0.35,0.35,1.00,1.8,1.8,1.000
UGC07603,4.7,12,4.11,64.0,6.98e+08,0.0005,952.35,951.98,86.58,86.54,1.00,25.7,25.7,0.167
UGC07608,8.21,8,4.78,69.3,9.40e+08,0.0010,167.78,167.64,23.97,23.95,1.00,30.6,30.6,0.125
UGC07690,8.11,7,4.13,60.7,1.41e+09,0.0022,63.75,63.45,10.62,10.58,1.00,13.0,13.0,0.143
UGC07866,4.57,7,2.32,33.1,2.55e+08,0.0001,23.65,23.64,3.94,3.94,1.00,7.5,7.5,0.714
UGC08286,6.5,17,8.04,84.3,2.70e+09,0.0080,5407.46,5378.13,337.97,336.13,1.01,36.7,36.6,0.059
UGC08490,4.65,30,10.15,80.1,2.23e+09,0.0055,3224.25,3215.95,111.18,110.89,1.00,38.3,38.2,0.000
UGC08550,6.7,11,5.36,57.8,9.07e+08,0.0009,1594.94,1593.77,159.49,159.38,1.00,25.0,25.0,0.000
UGC08699,39.3,41,25.70,202.0,6.04e+10,0.8023,1875.11,830.62,46.88,20.77,2.26,38.3,28.6,0.512
UGC08837,7.21,8,4.20,48.0,1.16e+09,0.0015,56.22,55.95,8.03,7.99,1.00,8.0,7.9,0.500
UGC09037,83.6,22,27.96,160.0,9.75e+10,0.9135,813.19,1940.66,38.72,92.41,0.42,31.1,46.0,0.136
UGC09133,57.1,68,108.31,289.0,3.53e+11,0.9928,54430.80,6436.40,812.40,96.07,8.46,61.9,39.3,0.206
UGC09992,10.7,5,3.89,34.3,7.18e+08,0.0006,5.41,5.40,1.35,1.35,1.00,5.9,5.9,1.000
UGC10310,15.2,7,7.74,73.2,3.98e+09,0.0173,138.47,134.95,23.08,22.49,1.03,22.5,22.2,0.000
UGC11455,78.6,36,41.93,291.0,4.35e+11,0.9953,1415.49,3188.11,40.44,91.09,0.44,39.8,62.6,0.028
UGC11557,24.2,12,10.56,85.0,1.81e+10,0.2666,79.38,113.12,7.22,10.28,0.70,20.8,24.1,0.083
UGC11820,18.1,10,15.82,84.5,5.67e+09,0.0344,5597.71,5434.90,621.97,603.88,1.03,27.4,27.0,0.200
UGC11914,16.9,65,9.83,305.0,1.52e+11,0.9624,961.62,4618.49,15.03,72.16,0.21,20.2,38.1,0.062
UGC12506,100.6,31,49.99,255.0,2.37e+11,0.9842,1070.72,141.31,35.69,4.71,7.58,78.8,30.6,0.484
UGC12632,9.77,15,10.66,73.2,4.22e+09,0.0194,1266.48,1240.28,90.46,88.59,1.02,28.5,28.3,0.067
UGC12732,13.2,16,15.40,98.0,8.60e+09,0.0759,1975.17,1833.78,131.68,122.25,1.08,38.5,37.2,0.000
UGCA281,5.68,7,1.08,29.5,9.48e+07,0.0000,108.30,108.30,18.05,18.05,1.00,6.7,6.7,0.143
UGCA442,4.35,8,6.33,57.8,5.79e+08,0.0004,2098.73,2098.21,299.82,299.74,1.00,26.1,26.1,0.000
UGCA444,0.98,36,2.62,38.3,1.33e+08,0.0000,426.16,426.16,12.18,12.18,1.00,14.1,14.1,0.028
